name,party,firstname,lastname,position,years,key,start_date,end_date
"Anttila, Sirkka-Liisa",Keskusta,Sirkka-Liisa,Anttila, ,2003-2007,Sirkka-Liisa_Anttila,19.3.2003,20.3.2007
"Anttila, Ulla",Vihreät,Ulla,Anttila, ,2003-2007,Ulla_Anttila,19.3.2003,20.3.2007
"Asko-Seljavaara, Sirpa",Kokoomus,Sirpa,Asko-Seljavaara, ,2003-2007,Sirpa_Asko-Seljavaara,19.3.2003,20.3.2007
"Backman, Jouni",SDP,Jouni,Backman, ,2003-2007,Jouni_Backman,19.3.2003,20.3.2007
"Biaudet, Eva",RKP,Eva,Biaudet, ,2003-2007,Eva_Biaudet,19.3.2003,20.3.2007
"Brax, Tuija",Vihreät,Tuija,Brax, ,2003-2007,Tuija_Brax,19.3.2003,20.3.2007
"Bryggare, Arto",SDP,Arto,Bryggare, ,2003-2007,Arto_Bryggare,19.3.2003,20.3.2007
"Cronberg, Tarja",Vihreät,Tarja,Cronberg, ,2003-2007,Tarja_Cronberg,19.3.2003,20.3.2007
"Donner, Jörn",RKP,Jörn,Donner, ,2003-2007,Jörn_Donner,19.3.2003,20.3.2007
"Dromberg, Kaarina",Kokoomus,Kaarina,Dromberg, ,2003-2007,Kaarina_Dromberg,19.3.2003,20.3.2007
"Elo, Mikko",SDP,Mikko,Elo, ,2003-2007,Mikko_Elo,19.3.2003,20.3.2007
"Enestam, Jan-Erik",RKP,Jan-Erik,Enestam, Ministeri ulkoasiainministeriössä;; Ympäristöministeri;;Ministeri ulkoasiainministeriössä;; Ympäristöministeri;;,2003-2007,Jan-Erik_Enestam,19.3.2003,20.3.2007
"Essayah, Sari",Kristillisdemokraatit,Sari,Essayah, ,2003-2007,Sari_Essayah,19.3.2003,20.3.2007
"Filatov, Tarja",SDP,Tarja,Filatov, Työministeri;;Työministeri;;,2003-2007,Tarja_Filatov,19.3.2003,20.3.2007
"Forsius, Merikukka",Vihreät,Merikukka,Forsius, ,2003-2007,Merikukka_Forsius,19.3.2003,20.3.2007
"Gestrin, Christina",RKP,Christina,Gestrin, ,2003-2007,Christina_Gestrin,19.3.2003,20.3.2007
"Granvik, Nils-Anders",RKP,Nils-Anders,Granvik, ,2003-2007,Nils-Anders_Granvik,19.3.2003,20.3.2007
"Gustafsson, Jukka",SDP,Jukka,Gustafsson, ,2003-2007,Jukka_Gustafsson,19.3.2003,20.3.2007
"Haapoja, Susanna",Keskusta,Susanna,Haapoja, ,2003-2007,Susanna_Haapoja,19.3.2003,20.3.2007
"Haatainen, Tuula",SDP,Tuula,Haatainen, Opetusministeri;;Opetusministeri;; Sosiaali- ja terveysministeri;;,2003-2007,Tuula_Haatainen,19.3.2003,20.3.2007
"Halme, Tony",Perussuomalaiset,Tony,Halme, ,2003-2007,Tony_Halme,19.3.2003,20.3.2007
"Harkimo, Leena",Kokoomus,Leena,Harkimo, ,2003-2007,Leena_Harkimo,19.3.2003,20.3.2007
"Hassi, Satu",Vihreät,Satu,Hassi, ,2003-2007,Satu_Hassi,19.3.2003,20.3.2007
"Hautala, Heidi",Vihreät,Heidi,Hautala, ,2003-2007,Heidi_Hautala,19.3.2003,20.3.2007
"Hautala, Lasse",Keskusta,Lasse,Hautala, ,2003-2007,Lasse_Hautala,19.3.2003,20.3.2007
"Heinäluoma, Eero",SDP,Eero,Heinäluoma, Pääministerin sijainen;; Valtiovarainministeri;;,2003-2007,Eero_Heinäluoma,19.3.2003,20.3.2007
"Hellberg, Klaus",SDP,Klaus,Hellberg, ,2003-2007,Klaus_Hellberg,19.3.2003,20.3.2007
"Hemmilä, Pertti",Kokoomus,Pertti,Hemmilä, ,2003-2007,Pertti_Hemmilä,19.3.2003,20.3.2007
"Hemming, Hanna-Leena",Kokoomus,Hanna-Leena,Hemming, ,2003-2007,Hanna-Leena_Hemming,19.3.2003,20.3.2007
"Hiltunen, Rakel",SDP,Rakel,Hiltunen, ,2003-2007,Rakel_Hiltunen,19.3.2003,20.3.2007
"Holmlund, Anne",Kokoomus,Anne,Holmlund, ,2003-2007,Anne_Holmlund,19.3.2003,20.3.2007
"Hoskonen, Hannu",Keskusta,Hannu,Hoskonen, ,2003-2007,Hannu_Hoskonen,19.3.2003,20.3.2007
"Huotari, Anne",Vasemmistoliitto,Anne,Huotari, ,2003-2007,Anne_Huotari,19.3.2003,20.3.2007
"Huovinen, Susanna",SDP,Susanna,Huovinen, Liikenne- ja viestintäministeri;;,2003-2007,Susanna_Huovinen,19.3.2003,20.3.2007
"Hurskainen, Sinikka",SDP,Sinikka,Hurskainen, ,2003-2007,Sinikka_Hurskainen,19.3.2003,20.3.2007
"Hyssälä, Liisa",Keskusta,Liisa,Hyssälä, Peruspalveluministeri;;Peruspalveluministeri;;,2003-2007,Liisa_Hyssälä,19.3.2003,20.3.2007
"Häkämies, Jyri",Kokoomus,Jyri,Häkämies, ,2003-2007,Jyri_Häkämies,19.3.2003,20.3.2007
"Hänninen, Tuomo",Keskusta,Tuomo,Hänninen, ,2003-2007,Tuomo_Hänninen,19.3.2003,20.3.2007
"Immonen, Mikko",Vasemmistoliitto,Mikko,Immonen, ,2003-2007,Mikko_Immonen,19.3.2003,20.3.2007
"Itälä, Ville",Kokoomus,Ville,Itälä, ,2003-2007,Ville_Itälä,19.3.2003,20.3.2007
"Jaakonsaari, Liisa",SDP,Liisa,Jaakonsaari, ,2003-2007,Liisa_Jaakonsaari,19.3.2003,20.3.2007
"Jansson, Roger",RKP,Roger,Jansson, ,2003-2007,Roger_Jansson,19.3.2003,20.3.2007
"Juhantalo, Kauko",Keskusta,Kauko,Juhantalo, ,2003-2007,Kauko_Juhantalo,19.3.2003,20.3.2007
"Jäätteenmäki, Anneli",Keskusta,Anneli,Jäätteenmäki, Pääministeri;;,2003-2007,Anneli_Jäätteenmäki,19.3.2003,20.3.2007
"Kaikkonen, Antti",Keskusta,Antti,Kaikkonen, ,2003-2007,Antti_Kaikkonen,19.3.2003,20.3.2007
"Kalli, Timo",Keskusta,Timo,Kalli, ,2003-2007,Timo_Kalli,19.3.2003,20.3.2007
"Kallio, Reijo",SDP,Reijo,Kallio, ,2003-2007,Reijo_Kallio,19.3.2003,20.3.2007
"Kalliomäki, Antti",SDP,Antti,Kalliomäki, Pääministerin sijainen;; Valtiovarainministeri;;Pääministerin sijainen;; Valtiovarainministeri;; Opetusministeri;;,2003-2007,Antti_Kalliomäki,19.3.2003,20.3.2007
"Kallis, Bjarne",Kristillisdemokraatit,Bjarne,Kallis, ,2003-2007,Bjarne_Kallis,19.3.2003,20.3.2007
"Kanerva, Ilkka",Kokoomus,Ilkka,Kanerva, ,2003-2007,Ilkka_Kanerva,19.3.2003,20.3.2007
"Kangas, Matti",Vasemmistoliitto,Matti,Kangas, ,2003-2007,Matti_Kangas,19.3.2003,20.3.2007
"Kankaanniemi, Toimi",Kristillisdemokraatit,Toimi,Kankaanniemi, ,2003-2007,Toimi_Kankaanniemi,19.3.2003,20.3.2007
"Karhu, Saara",SDP,Saara,Karhu, ,2003-2007,Saara_Karhu,19.3.2003,20.3.2007
"Karjula, Kyösti",Keskusta,Kyösti,Karjula, ,2003-2007,Kyösti_Karjula,19.3.2003,20.3.2007
"Saarela, Tanja",Keskusta,Tanja,Saarela, Kulttuuriministeri;;Kulttuuriministeri;;,2003-2007,Tanja_Saarela,19.3.2003,20.3.2007
"Karttunen, Marjukka",Kokoomus,Marjukka,Karttunen, ,2003-2007,Marjukka_Karttunen,19.3.2003,20.3.2007
"Karvonen, Tatja",Keskusta,Tatja,Karvonen, ,2003-2007,Tatja_Karvonen,19.3.2003,20.3.2007
"Kasvi, Jyrki",Vihreät,Jyrki,Kasvi, ,2003-2007,Jyrki_Kasvi,19.3.2003,20.3.2007
"Katainen, Jyrki",Kokoomus,Jyrki,Katainen, ,2003-2007,Jyrki_Katainen,19.3.2003,20.3.2007
"Kauppila, Matti",Vasemmistoliitto,Matti,Kauppila, ,2003-2007,Matti_Kauppila,19.3.2003,20.3.2007
"Kekkonen, Antero",SDP,Antero,Kekkonen, ,2003-2007,Antero_Kekkonen,19.3.2003,20.3.2007
"Kerola, Inkeri",Keskusta,Inkeri,Kerola, ,2003-2007,Inkeri_Kerola,19.3.2003,20.3.2007
"Kettunen, Rauno",Keskusta,Rauno,Kettunen, ,2003-2007,Rauno_Kettunen,19.3.2003,20.3.2007
"Kiljunen, Anneli",SDP,Anneli,Kiljunen, ,2003-2007,Anneli_Kiljunen,19.3.2003,20.3.2007
"Kiljunen, Kimmo",SDP,Kimmo,Kiljunen, ,2003-2007,Kimmo_Kiljunen,19.3.2003,20.3.2007
"Kiviniemi, Mari",Keskusta,Mari,Kiviniemi, Ministeri valtioneuvoston kansliassa;; Ulkomaankauppa- ja kehitysministeri;;,2003-2007,Mari_Kiviniemi,19.3.2003,20.3.2007
"Kiviranta, Esko",Keskusta,Esko,Kiviranta, ,2003-2007,Esko_Kiviranta,19.3.2003,20.3.2007
"Komi, Katri",Keskusta,Katri,Komi, ,2003-2007,Katri_Komi,19.3.2003,20.3.2007
"Korhonen, Martti",Vasemmistoliitto,Martti,Korhonen, ,2003-2007,Martti_Korhonen,19.3.2003,20.3.2007
"Korkeaoja, Juha",Keskusta,Juha,Korkeaoja, Maa- ja metsätalousministeri;;Maa- ja metsätalousministeri;;,2003-2007,Juha_Korkeaoja,19.3.2003,20.3.2007
"Koski, Markku",Keskusta,Markku,Koski, ,2003-2007,Markku_Koski,19.3.2003,20.3.2007
"Koski, Valto",SDP,Valto,Koski, ,2003-2007,Valto_Koski,19.3.2003,20.3.2007
"Koskinen, Jari",Kokoomus,Jari,Koskinen, ,2003-2007,Jari_Koskinen,19.3.2003,20.3.2007
"Koskinen, Johannes",SDP,Johannes,Koskinen, Oikeusministeri;;Oikeusministeri;;,2003-2007,Johannes_Koskinen,19.3.2003,20.3.2007
"Koskinen, Marjaana",SDP,Marjaana,Koskinen, ,2003-2007,Marjaana_Koskinen,19.3.2003,20.3.2007
"Krohn, Irina",Vihreät,Irina,Krohn, ,2003-2007,Irina_Krohn,19.3.2003,20.3.2007
"Kuisma, Risto",SDP,Risto,Kuisma, ,2003-2007,Risto_Kuisma,19.3.2003,20.3.2007
"Kumpula, Miapetra",SDP,Miapetra,Kumpula, ,2003-2007,Miapetra_Kumpula,19.3.2003,20.3.2007
"Kuoppa, Mikko",Vasemmistoliitto,Mikko,Kuoppa, ,2003-2007,Mikko_Kuoppa,19.3.2003,20.3.2007
"Kuosmanen, Pekka",Kokoomus,Pekka,Kuosmanen, ,2003-2007,Pekka_Kuosmanen,19.3.2003,20.3.2007
"Kurvinen, Esko",Kokoomus,Esko,Kurvinen, ,2003-2007,Esko_Kurvinen,19.3.2003,20.3.2007
"Kähkönen, Lauri",SDP,Lauri,Kähkönen, ,2003-2007,Lauri_Kähkönen,19.3.2003,20.3.2007
"Kärkkäinen, Kari",Kristillisdemokraatit,Kari,Kärkkäinen, ,2003-2007,Kari_Kärkkäinen,19.3.2003,20.3.2007
"Kääriäinen, Seppo",Keskusta,Seppo,Kääriäinen, Puolustusministeri;;,2003-2007,Seppo_Kääriäinen,19.3.2003,20.3.2007
"Laakso, Jaakko",Vasemmistoliitto,Jaakko,Laakso, ,2003-2007,Jaakko_Laakso,19.3.2003,20.3.2007
"Lahtela, Esa",SDP,Esa,Lahtela, ,2003-2007,Esa_Lahtela,19.3.2003,20.3.2007
"Lahtela, Seppo",Keskusta,Seppo,Lahtela, ,2003-2007,Seppo_Lahtela,19.3.2003,20.3.2007
"Lahti, Jere",Kokoomus,Jere,Lahti, ,2003-2007,Jere_Lahti,19.3.2003,20.3.2007
"Laitinen, Reijo",SDP,Reijo,Laitinen, ,2003-2007,Reijo_Laitinen,19.3.2003,20.3.2007
"Lamminen, Kalevi",Kokoomus,Kalevi,Lamminen, ,2003-2007,Kalevi_Lamminen,19.3.2003,20.3.2007
"Lankia, Eero",Keskusta,Eero,Lankia, ,2003-2007,Eero_Lankia,19.3.2003,20.3.2007
"Lapintie, Annika",Vasemmistoliitto,Annika,Lapintie, ,2003-2007,Annika_Lapintie,19.3.2003,20.3.2007
"Laukkanen, Markku",Keskusta,Markku,Laukkanen, ,2003-2007,Markku_Laukkanen,19.3.2003,20.3.2007
"Lax, Henrik",RKP,Henrik,Lax, ,2003-2007,Henrik_Lax,19.3.2003,20.3.2007
"Laxell, Jouko",Kokoomus,Jouko,Laxell, ,2003-2007,Jouko_Laxell,19.3.2003,20.3.2007
"Lehtomäki, Paula",Keskusta,Paula,Lehtomäki, Ministeri valtioneuvoston kansliassa;; Ulkomaankauppa- ja kehitysministeri;; Ministeri kauppa- ja teollisuusministeriössä;;Ministeri valtioneuvoston kansliassa;; Ministeri valtioneuvoston kansliassa;; Ulkomaankauppa- ja kehitysministeri;; Ulkomaankauppa- ja kehitysministeri;;,2003-2007,Paula_Lehtomäki,19.3.2003,20.3.2007
"Leppä, Jari",Keskusta,Jari,Leppä, ,2003-2007,Jari_Leppä,19.3.2003,20.3.2007
"Lindén, Suvi",Kokoomus,Suvi,Lindén, ,2003-2007,Suvi_Lindén,19.3.2003,20.3.2007
"Lindqvist, Maija-Liisa",Keskusta,Maija-Liisa,Lindqvist, ,2003-2007,Maija-Liisa_Lindqvist,19.3.2003,20.3.2007
"Lintilä, Mika",Keskusta,Mika,Lintilä, ,2003-2007,Mika_Lintilä,19.3.2003,20.3.2007
"Lintonen, Minna",SDP,Minna,Lintonen, ,2003-2007,Minna_Lintonen,19.3.2003,20.3.2007
"Lipponen, Paavo",SDP,Paavo,Lipponen, ,2003-2007,Paavo_Lipponen,19.3.2003,20.3.2007
"Luhtanen, Leena",SDP,Leena,Luhtanen, Liikenne- ja viestintäministeri;;Oikeusministeri;; Liikenne- ja viestintäministeri;;,2003-2007,Leena_Luhtanen,19.3.2003,20.3.2007
"Lämsä, Eero",Keskusta,Eero,Lämsä, ,2003-2007,Eero_Lämsä,19.3.2003,20.3.2007
"Löv, Pehr",RKP,Pehr,Löv, ,2003-2007,Pehr_Löv,19.3.2003,20.3.2007
"Manninen, Hannes",Keskusta,Hannes,Manninen, Alue- ja kuntaministeri;; Ministeri ympäristöministeriössä;;Alue- ja kuntaministeri;; Ministeri ympäristöministeriössä;;,2003-2007,Hannes_Manninen,19.3.2003,20.3.2007
"Matikainen-Kallström, Marjo",Kokoomus,Marjo,Matikainen-Kallström, ,2003-2007,Marjo_Matikainen-Kallström,19.3.2003,20.3.2007
"Meriläinen, Rosa",Vihreät,Rosa,Meriläinen, ,2003-2007,Rosa_Meriläinen,19.3.2003,20.3.2007
"Moilanen-Savolainen, Riikka",Keskusta,Riikka,Moilanen-Savolainen, ,2003-2007,Riikka_Moilanen-Savolainen,19.3.2003,20.3.2007
"Mustajärvi, Markus",Vasemmistoliitto,Markus,Mustajärvi, ,2003-2007,Markus_Mustajärvi,19.3.2003,20.3.2007
"Mäkinen, Tapani",Kokoomus,Tapani,Mäkinen, ,2003-2007,Tapani_Mäkinen,19.3.2003,20.3.2007
"Mönkäre, Sinikka",SDP,Sinikka,Mönkäre, Sosiaali- ja terveysministeri;;Sosiaali- ja terveysministeri;;,2003-2007,Sinikka_Mönkäre,19.3.2003,20.3.2007
"Neittaanmäki, Petri",Keskusta,Petri,Neittaanmäki, ,2003-2007,Petri_Neittaanmäki,19.3.2003,20.3.2007
"Nepponen, Olli",Kokoomus,Olli,Nepponen, ,2003-2007,Olli_Nepponen,19.3.2003,20.3.2007
"Nousiainen, Pekka",Keskusta,Pekka,Nousiainen, ,2003-2007,Pekka_Nousiainen,19.3.2003,20.3.2007
"Nurmi, Tuija",Kokoomus,Tuija,Nurmi, ,2003-2007,Tuija_Nurmi,19.3.2003,20.3.2007
"Nylander, Mikaela",RKP,Mikaela,Nylander, ,2003-2007,Mikaela_Nylander,19.3.2003,20.3.2007
"Oinonen, Lauri",Keskusta,Lauri,Oinonen, ,2003-2007,Lauri_Oinonen,19.3.2003,20.3.2007
"Ojala, Outi",Vasemmistoliitto,Outi,Ojala, ,2003-2007,Outi_Ojala,19.3.2003,20.3.2007
"Ojala, Reino",SDP,Reino,Ojala, ,2003-2007,Reino_Ojala,19.3.2003,20.3.2007
"Ojansuu, Kirsi",Vihreät,Kirsi,Ojansuu, ,2003-2007,Kirsi_Ojansuu,19.3.2003,20.3.2007
"Olin, Kalevi",SDP,Kalevi,Olin, ,2003-2007,Kalevi_Olin,19.3.2003,20.3.2007
"Ollila, Heikki",Kokoomus,Heikki,Ollila, ,2003-2007,Heikki_Ollila,19.3.2003,20.3.2007
"Paajanen, Reijo",Kokoomus,Reijo,Paajanen, ,2003-2007,Reijo_Paajanen,19.3.2003,20.3.2007
"Paatero, Sirpa",SDP,Sirpa,Paatero, ,2003-2007,Sirpa_Paatero,19.3.2003,20.3.2007
"Paasio, Heli",SDP,Heli,Paasio, ,2003-2007,Heli_Paasio,19.3.2003,20.3.2007
"Paloniemi, Aila",Keskusta,Aila,Paloniemi, ,2003-2007,Aila_Paloniemi,19.3.2003,20.3.2007
"Pekkarinen, Mauri",Keskusta,Mauri,Pekkarinen, Kauppa- ja teollisuusministeri;;Kauppa- ja teollisuusministeri;;,2003-2007,Mauri_Pekkarinen,19.3.2003,20.3.2007
"Peltokorpi, Terhi",Keskusta,Terhi,Peltokorpi, ,2003-2007,Terhi_Peltokorpi,19.3.2003,20.3.2007
"Peltomo, Pirkko",SDP,Pirkko,Peltomo, ,2003-2007,Pirkko_Peltomo,19.3.2003,20.3.2007
"Pentti, Klaus",Keskusta,Klaus,Pentti, ,2003-2007,Klaus_Pentti,19.3.2003,20.3.2007
"Perho, Maija",Kokoomus,Maija,Perho, ,2003-2007,Maija_Perho,19.3.2003,20.3.2007
"Polvi, Iivo",Vasemmistoliitto,Iivo,Polvi, ,2003-2007,Iivo_Polvi,19.3.2003,20.3.2007
"Puhjo, Veijo",Vasemmistoliitto,Veijo,Puhjo, ,2003-2007,Veijo_Puhjo,19.3.2003,20.3.2007
"Puisto, Virpa",SDP,Virpa,Puisto, ,2003-2007,Virpa_Puisto,19.3.2003,20.3.2007
"Pulliainen, Erkki",Vihreät,Erkki,Pulliainen, ,2003-2007,Erkki_Pulliainen,19.3.2003,20.3.2007
"Rahkonen, Susanna",SDP,Susanna,Rahkonen, ,2003-2007,Susanna_Rahkonen,19.3.2003,20.3.2007
"Rajala, Lyly",Kristillisdemokraatit,Lyly,Rajala, ,2003-2007,Lyly_Rajala,19.3.2003,20.3.2007
"Rajamäki, Kari",SDP,Kari,Rajamäki, Sisäasiainministeri;;Sisäasiainministeri;;,2003-2007,Kari_Rajamäki,19.3.2003,20.3.2007
"Rantakangas, Antti",Keskusta,Antti,Rantakangas, ,2003-2007,Antti_Rantakangas,19.3.2003,20.3.2007
"Ranta-Muotio, Aulis",Keskusta,Aulis,Ranta-Muotio, ,2003-2007,Aulis_Ranta-Muotio,19.3.2003,20.3.2007
"Rask, Maija",SDP,Maija,Rask, ,2003-2007,Maija_Rask,19.3.2003,20.3.2007
"Rauhala, Leena",Kristillisdemokraatit,Leena,Rauhala, ,2003-2007,Leena_Rauhala,19.3.2003,20.3.2007
"Rehula, Juha",Keskusta,Juha,Rehula, ,2003-2007,Juha_Rehula,19.3.2003,20.3.2007
"Reijonen, Eero",Keskusta,Eero,Reijonen, ,2003-2007,Eero_Reijonen,19.3.2003,20.3.2007
"Risikko, Paula",Kokoomus,Paula,Risikko, ,2003-2007,Paula_Risikko,19.3.2003,20.3.2007
"Roos, Jukka",SDP,Jukka,Roos, ,2003-2007,Jukka_Roos,19.3.2003,20.3.2007
"Rossi, Markku",Keskusta,Markku,Rossi, ,2003-2007,Markku_Rossi,19.3.2003,20.3.2007
"Rundgren, Simo",Keskusta,Simo,Rundgren, ,2003-2007,Simo_Rundgren,19.3.2003,20.3.2007
"Räsänen, Päivi",Kristillisdemokraatit,Päivi,Räsänen, ,2003-2007,Päivi_Räsänen,19.3.2003,20.3.2007
"Rönni, Tero",SDP,Tero,Rönni, ,2003-2007,Tero_Rönni,19.3.2003,20.3.2007
"Saarikangas, Martin",Kokoomus,Martin,Saarikangas, ,2003-2007,Martin_Saarikangas,19.3.2003,20.3.2007
"Saarinen, Matti",SDP,Matti,Saarinen, ,2003-2007,Matti_Saarinen,19.3.2003,20.3.2007
"Salo, Mauri",Keskusta,Mauri,Salo, ,2003-2007,Mauri_Salo,19.3.2003,20.3.2007
"Salo, Petri",Kokoomus,Petri,Salo, ,2003-2007,Petri_Salo,19.3.2003,20.3.2007
"Salovaara, Pertti",Keskusta,Pertti,Salovaara, ,2003-2007,Pertti_Salovaara,19.3.2003,20.3.2007
"Sarkomaa, Sari",Kokoomus,Sari,Sarkomaa, ,2003-2007,Sari_Sarkomaa,19.3.2003,20.3.2007
"Sasi, Kimmo",Kokoomus,Kimmo,Sasi, ,2003-2007,Kimmo_Sasi,19.3.2003,20.3.2007
"Satonen, Arto",Kokoomus,Arto,Satonen, ,2003-2007,Arto_Satonen,19.3.2003,20.3.2007
"Seppälä, Arto",SDP,Arto,Seppälä, ,2003-2007,Arto_Seppälä,19.3.2003,20.3.2007
"Seppälä, Timo",Kokoomus,Timo,Seppälä, ,2003-2007,Timo_Seppälä,19.3.2003,20.3.2007
"Siimes, Suvi-Anne",Vasemmistoliitto,Suvi-Anne,Siimes, ,2003-2007,Suvi-Anne_Siimes,19.3.2003,20.3.2007
"Sinnemäki, Anni",Vihreät,Anni,Sinnemäki, ,2003-2007,Anni_Sinnemäki,19.3.2003,20.3.2007
"Sirnö, Minna",Vasemmistoliitto,Minna,Sirnö, ,2003-2007,Minna_Sirnö,19.3.2003,20.3.2007
"Sjöblom, Juhani",Kokoomus,Juhani,Sjöblom, ,2003-2007,Juhani_Sjöblom,19.3.2003,20.3.2007
"Skinnari, Jouko",SDP,Jouko,Skinnari, ,2003-2007,Jouko_Skinnari,19.3.2003,20.3.2007
"Soini, Timo",Perussuomalaiset,Timo,Soini, ,2003-2007,Timo_Soini,19.3.2003,20.3.2007
"Soininvaara, Osmo",Vihreät,Osmo,Soininvaara, ,2003-2007,Osmo_Soininvaara,19.3.2003,20.3.2007
"Sumuvuori, Johanna",Vihreät,Johanna,Sumuvuori, ,2003-2007,Johanna_Sumuvuori,19.3.2003,20.3.2007
"Särkiniemi, Seppo",Keskusta,Seppo,Särkiniemi, ,2003-2007,Seppo_Särkiniemi,19.3.2003,20.3.2007
"Tahvanainen, Säde",SDP,Säde,Tahvanainen, ,2003-2007,Säde_Tahvanainen,19.3.2003,20.3.2007
"Taipale, Ilkka",SDP,Ilkka,Taipale, ,2003-2007,Ilkka_Taipale,19.3.2003,20.3.2007
"Taiveaho, Satu",SDP,Satu,Taiveaho, ,2003-2007,Satu_Taiveaho,19.3.2003,20.3.2007
"Takkula, Hannu",Keskusta,Hannu,Takkula, ,2003-2007,Hannu_Takkula,19.3.2003,20.3.2007
"Tennilä, Esko-Juhani",Vasemmistoliitto,Esko-Juhani,Tennilä, ,2003-2007,Esko-Juhani_Tennilä,19.3.2003,20.3.2007
"Thors, Astrid",RKP,Astrid,Thors, ,2003-2007,Astrid_Thors,19.3.2003,20.3.2007
"Tiilikainen, Kimmo",Keskusta,Kimmo,Tiilikainen, ,2003-2007,Kimmo_Tiilikainen,19.3.2003,20.3.2007
"Tiura, Marja",Kokoomus,Marja,Tiura, ,2003-2007,Marja_Tiura,19.3.2003,20.3.2007
"Tiusanen, Pentti",Vasemmistoliitto,Pentti,Tiusanen, ,2003-2007,Pentti_Tiusanen,19.3.2003,20.3.2007
"Tulonen, Irja",Kokoomus,Irja,Tulonen, ,2003-2007,Irja_Tulonen,19.3.2003,20.3.2007
"Tuomioja, Erkki",SDP,Erkki,Tuomioja, Ulkoasiainministeri;;Ulkoasiainministeri;;,2003-2007,Erkki_Tuomioja,19.3.2003,20.3.2007
"Tynkkynen, Oras",Vihreät,Oras,Tynkkynen, ,2003-2007,Oras_Tynkkynen,19.3.2003,20.3.2007
"Tölli, Tapani",Keskusta,Tapani,Tölli, ,2003-2007,Tapani_Tölli,19.3.2003,20.3.2007
"Uotila, Kari",Vasemmistoliitto,Kari,Uotila, ,2003-2007,Kari_Uotila,19.3.2003,20.3.2007
"Urpilainen, Jutta",SDP,Jutta,Urpilainen, ,2003-2007,Jutta_Urpilainen,19.3.2003,20.3.2007
"Vahasalo, Raija",Kokoomus,Raija,Vahasalo, ,2003-2007,Raija_Vahasalo,19.3.2003,20.3.2007
"Wallin, Harry",SDP,Harry,Wallin, ,2003-2007,Harry_Wallin,19.3.2003,20.3.2007
"Valpas, Unto",Vasemmistoliitto,Unto,Valpas, ,2003-2007,Unto_Valpas,19.3.2003,20.3.2007
"Vanhanen, Matti",Keskusta,Matti,Vanhanen, Puolustusministeri;;Pääministeri;;,2003-2007,Matti_Vanhanen,19.3.2003,20.3.2007
"Vapaavuori, Jan",Kokoomus,Jan,Vapaavuori, ,2003-2007,Jan_Vapaavuori,19.3.2003,20.3.2007
"Wideroos, Ulla-Maj",RKP,Ulla-Maj,Wideroos, Toinen valtiovarainministeri;;Toinen valtiovarainministeri;;,2003-2007,Ulla-Maj_Wideroos,19.3.2003,20.3.2007
"Vielma, Ahti",Kokoomus,Ahti,Vielma, ,2003-2007,Ahti_Vielma,19.3.2003,20.3.2007
"Vihriälä, Jukka",Keskusta,Jukka,Vihriälä, ,2003-2007,Jukka_Vihriälä,19.3.2003,20.3.2007
"Viitanen, Pia",SDP,Pia,Viitanen, ,2003-2007,Pia_Viitanen,19.3.2003,20.3.2007
"Vilén, Jari",Kokoomus,Jari,Vilén, ,2003-2007,Jari_Vilén,19.3.2003,20.3.2007
"Vilkuna, Pekka",Keskusta,Pekka,Vilkuna, ,2003-2007,Pekka_Vilkuna,19.3.2003,20.3.2007
"Virén, Lasse",Kokoomus,Lasse,Virén, ,2003-2007,Lasse_Virén,19.3.2003,20.3.2007
"Virtanen, Erkki",Vasemmistoliitto,Erkki,Virtanen, ,2003-2007,Erkki_Virtanen,19.3.2003,20.3.2007
"Vistbacka, Raimo",Perussuomalaiset,Raimo,Vistbacka, ,2003-2007,Raimo_Vistbacka,19.3.2003,20.3.2007
"Väistö, Matti",Keskusta,Matti,Väistö, ,2003-2007,Matti_Väistö,19.3.2003,20.3.2007
"Väätäinen, Tuula",SDP,Tuula,Väätäinen, ,2003-2007,Tuula_Väätäinen,19.3.2003,20.3.2007
"Ylä-Mononen, Jaana",Keskusta,Jaana,Ylä-Mononen, ,2003-2007,Jaana_Ylä-Mononen,19.3.2003,20.3.2007
"Zyskowicz, Ben",Kokoomus,Ben,Zyskowicz, ,2003-2007,Ben_Zyskowicz,19.3.2003,20.3.2007
"Matti, Ahde",SDP,Matti,Ahde, ,2007-2011,Matti_Ahde,21.3.2007,19.4.2011
"Esko, Ahonen",Keskusta,Esko,Ahonen, ,2007-2011,Esko_Ahonen,21.3.2007,19.4.2011
"Eero, Akaan-Penttilä",Kokoomus,Eero,Akaan-Penttilä, ,2007-2011,Eero_Akaan-Penttilä,21.3.2007,19.4.2011
"Outi, Alanko-Kahiluoto",Vihreät,Outi,Alanko-Kahiluoto, ,2007-2011,Outi_Alanko-Kahiluoto,21.3.2007,19.4.2011
"Mikko, Alatalo",Keskusta,Mikko,Alatalo, ,2007-2011,Mikko_Alatalo,21.3.2007,19.4.2011
"Claes, Andersson",Vasemmistoliitto,Claes,Andersson, ,2007-2011,Claes_Andersson,21.3.2007,19.4.2011
"Janina, Andersson",Vihreät,Janina,Andersson, ,2007-2011,Janina_Andersson,21.3.2007,19.4.2011
"Sirkka-Liisa, Anttila",Keskusta,Sirkka-Liisa,Anttila, Maa- ja metsätalousministeri;;Maa- ja metsätalousministeri;;,2007-2011,Sirkka-Liisa_Anttila,21.3.2007,19.4.2011
