name,party,firstname,lastname,position,years,key,start_date,end_date
"Koskinen, Marjaana",Kokoomus,Marjaana,Koskinen,,1999-2003,Marjaana_Koskinen,24.3.1999,18.3.2003
"Kuosmanen, Pekka",Kokoomus,Pekka,Kuosmanen,,1999-2003,Pekka_Kuosmanen,24.3.1999,18.3.2003
"Kurvinen, Esko",Kokoomus,Esko,Kurvinen,,1999-2003,Esko_Kurvinen,24.3.1999,18.3.2003
"Antvuori, Pirjo-Riitta",Kokoomus,Pirjo-Riitta,Antvuori,,1999-2003,Pirjo-Riitta_Antvuori,24.3.1999,18.3.2003
"Dromberg, Kaarina",Kokoomus,Kaarina,Dromberg,Kulttuuriministeri,1999-2003,Kaarina_Dromberg,24.3.1999,18.3.2003
"Ihamäki, Timo",Kokoomus,Timo,Ihamäki,,1999-2003,Timo_Ihamäki,24.3.1999,18.3.2003
"Kantalainen, Kari",Kokoomus,Kari,Kantalainen,,1999-2003,Kari_Kantalainen,24.3.1999,18.3.2003
"Karpio, Juha",Kokoomus,Juha,Karpio,,1999-2003,Juha_Karpio,24.3.1999,18.3.2003
"Karttunen, Marjukka",Kokoomus,Marjukka,Karttunen,,1999-2003,Marjukka_Karttunen,24.3.1999,18.3.2003
"Kokkonen, Paula",Kokoomus,Paula,Kokkonen,,1999-2003,Paula_Kokkonen,24.3.1999,18.3.2003
"Korhonen, Riitta",Kokoomus,Riitta,Korhonen,,1999-2003,Riitta_Korhonen,24.3.1999,18.3.2003
"Lehtimäki, Jouni",Kokoomus,Jouni,Lehtimäki,,1999-2003,Jouni_Lehtimäki,24.3.1999,18.3.2003
"Zyskowicz, Ben",Kokoomus,Ben,Zyskowicz,,1999-2003,Ben_Zyskowicz,24.3.1999,18.3.2003
"Markkula-Kivisilta, Hanna",Kokoomus,Hanna,Markkula-Kivisilta,,1999-2003,Hanna_Markkula-Kivisilta,24.3.1999,18.3.2003
"Markkula, Markku",Kokoomus,Markku,Markkula,,1999-2003,Markku_Markkula,24.3.1999,18.3.2003
"Nepponen, Olli",Kokoomus,Olli,Nepponen,,1999-2003,Olli_Nepponen,24.3.1999,18.3.2003
"Nurmi, Tuija",Kokoomus,Tuija,Nurmi,,1999-2003,Tuija_Nurmi,24.3.1999,18.3.2003
"Perho, Maija",Kokoomus,Maija,Perho,Sosiaali- ja terveysministeri,1999-2003,Maija_Perho,24.3.1999,18.3.2003
"Salo, Petri",Kokoomus,Petri,Salo,,1999-2003,Petri_Salo,24.3.1999,18.3.2003
"Seppälä, Timo",Kokoomus,Timo,Seppälä,,1999-2003,Timo_Seppälä,24.3.1999,18.3.2003
"Sjöblom, Juhani",Kokoomus,Juhani,Sjöblom,,1999-2003,Juhani_Sjöblom,24.3.1999,18.3.2003
"Tiuri, Martti",Kokoomus,Martti,Tiuri,,1999-2003,Martti_Tiuri,24.3.1999,18.3.2003
"Tulonen, Irja",Kokoomus,Irja,Tulonen,,1999-2003,Irja_Tulonen,24.3.1999,18.3.2003
"Aittoniemi, Sulo",alkiolainen,Sulo,Aittoniemi,,1999-2003,Sulo_Aittoniemi,24.3.1999,18.3.2003
"Kallis, Bjarne",Kristillisdemokraatit,Bjarne,Kallis,,1999-2003,Bjarne_Kallis,24.3.1999,18.3.2003
"Kankaanniemi, Toimi",Kristillisdemokraatit,Toimi,Kankaanniemi,,1999-2003,Toimi_Kankaanniemi,24.3.1999,18.3.2003
"Jääskeläinen, Jouko",Kristillisdemokraatit,Jouko,Jääskeläinen,,1999-2003,Jouko_Jääskeläinen,24.3.1999,18.3.2003
"Räsänen, Päivi",Kristillisdemokraatit,Päivi,Räsänen,,1999-2003,Päivi_Räsänen,24.3.1999,18.3.2003
"Hiltunen, Leea",Kristillisdemokraatit,Leea,Hiltunen,,1999-2003,Leea_Hiltunen,24.3.1999,18.3.2003
"Kemppainen, Marja-Leena",Kristillisdemokraatit,Marja-Leena,Kemppainen,,1999-2003,Marja-Leena_Kemppainen,24.3.1999,18.3.2003
"Kärkkäinen, Kari",Kristillisdemokraatit,Kari,Kärkkäinen,,1999-2003,Kari_Kärkkäinen,24.3.1999,18.3.2003
"Rauhala, Leena",Kristillisdemokraatit,Leena,Rauhala,,1999-2003,Leena_Rauhala,24.3.1999,18.3.2003
"Seivästö, Ismo",Kristillisdemokraatit,Ismo,Seivästö,,1999-2003,Ismo_Seivästö,24.3.1999,18.3.2003
"Smeds, Sakari",Kristillisdemokraatit,Sakari,Smeds,,1999-2003,Sakari_Smeds,24.3.1999,18.3.2003
"Vistbacka, Raimo",Perussuomalaiset,Raimo,Vistbacka,,1999-2003,Raimo_Vistbacka,24.3.1999,18.3.2003
"Biaudet, Eva",RKP,Eva,Biaudet,Peruspalveluministeri;; Peruspalveluministeri,1999-2003,Eva_Biaudet,24.3.1999,18.3.2003
"Enestam, Jan-Erik",RKP,Jan-Erik,Enestam,Ministeri ulkoasiainministeriössä;; Puolustusministeri,1999-2003,Jan-Erik_Enestam,24.3.1999,18.3.2003
"Erlund, Rainer",RKP,Rainer,Erlund,,1999-2003,Rainer_Erlund,24.3.1999,18.3.2003
"Gestrin, Christina",RKP,Christina,Gestrin,,1999-2003,Christina_Gestrin,24.3.1999,18.3.2003
"Lax, Henrik",RKP,Henrik,Lax,,1999-2003,Henrik_Lax,24.3.1999,18.3.2003
"Pietikäinen, Margareta",RKP,Margareta,Pietikäinen,,1999-2003,Margareta_Pietikäinen,24.3.1999,18.3.2003
"Nordman, Håkan",RKP,Håkan,Nordman,,1999-2003,Håkan_Nordman,24.3.1999,18.3.2003
"Bremer, Klaus",RKP,Klaus,Bremer,,1999-2003,Klaus_Bremer,24.3.1999,18.3.2003
"Granvik, Nils-Anders",RKP,Nils-Anders,Granvik,,1999-2003,Nils-Anders_Granvik,24.3.1999,18.3.2003
"Jansson, Gunnar",RKP,Gunnar,Jansson,,1999-2003,Gunnar_Jansson,24.3.1999,18.3.2003
"Wideroos, Ulla-Maj",RKP,Ulla-Maj,Wideroos,,1999-2003,Ulla-Maj_Wideroos,24.3.1999,18.3.2003
"Löv, Pehr",RKP,Pehr,Löv,,1999-2003,Pehr_Löv,24.3.1999,18.3.2003
"Rosendahl, Ola",RKP,Ola,Rosendahl,,1999-2003,Ola_Rosendahl,24.3.1999,18.3.2003
"Helle, Esko",Vasemmistoliitto,Esko,Helle,,1999-2003,Esko_Helle,24.3.1999,18.3.2003
"Korhonen, Martti",Vasemmistoliitto,Martti,Korhonen,Alue- ja kuntaministeri,1999-2003,Martti_Korhonen,24.3.1999,18.3.2003
"Lapintie, Annika",Vasemmistoliitto,Annika,Lapintie,,1999-2003,Annika_Lapintie,24.3.1999,18.3.2003
"Ojala, Outi",Vasemmistoliitto,Outi,Ojala,,1999-2003,Outi_Ojala,24.3.1999,18.3.2003
"Puhjo, Veijo",Vasemmistoliitto,Veijo,Puhjo,,1999-2003,Veijo_Puhjo,24.3.1999,18.3.2003
"Tiusanen, Pentti",Vasemmistoliitto,Pentti,Tiusanen,,1999-2003,Pentti_Tiusanen,24.3.1999,18.3.2003
"Tennilä, Esko-Juhani",Vasemmistoliitto,Esko-Juhani,Tennilä,,1999-2003,Esko-Juhani_Tennilä,24.3.1999,18.3.2003
"Stenius-Kaukonen, Marjatta",Vasemmistoliitto,Marjatta,Stenius-Kaukonen,,1999-2003,Marjatta_Stenius-Kaukonen,24.3.1999,18.3.2003
"Siimes, Suvi-Anne",Vasemmistoliitto,Suvi-Anne,Siimes,Ministeri ulkoasiainministeriössä;; Ministeri valtiovarainministeriössä;; Ministeri ympäristöministeriössä,1999-2003,Suvi-Anne_Siimes,24.3.1999,18.3.2003
"Huotari, Anne",Vasemmistoliitto,Anne,Huotari,,1999-2003,Anne_Huotari,24.3.1999,18.3.2003
"Huutola, Matti",Vasemmistoliitto,Matti,Huutola,,1999-2003,Matti_Huutola,24.3.1999,18.3.2003
"Immonen, Mikko",Vasemmistoliitto,Mikko,Immonen,,1999-2003,Mikko_Immonen,24.3.1999,18.3.2003
"Kangas, Matti",Vasemmistoliitto,Matti,Kangas,,1999-2003,Matti_Kangas,24.3.1999,18.3.2003
"Kuoppa, Mikko",Vasemmistoliitto,Mikko,Kuoppa,,1999-2003,Mikko_Kuoppa,24.3.1999,18.3.2003
"Laakso, Jaakko",Vasemmistoliitto,Jaakko,Laakso,,1999-2003,Jaakko_Laakso,24.3.1999,18.3.2003
"Polvi, Iivo",Vasemmistoliitto,Iivo,Polvi,,1999-2003,Iivo_Polvi,24.3.1999,18.3.2003
"Syvärinen, Katja",Vasemmistoliitto,Katja,Syvärinen,,1999-2003,Katja_Syvärinen,24.3.1999,18.3.2003
"Uotila, Kari",Vasemmistoliitto,Kari,Uotila,,1999-2003,Kari_Uotila,24.3.1999,18.3.2003
"Valpas, Unto",Vasemmistoliitto,Unto,Valpas,,1999-2003,Unto_Valpas,24.3.1999,18.3.2003
"Vokkolainen, Jorma",Vasemmistoliitto,Jorma,Vokkolainen,,1999-2003,Jorma_Vokkolainen,24.3.1999,18.3.2003
"Tykkyläinen, Marja-Liisa",Vasemmistoliitto,Marja-Liisa,Tykkyläinen,,1999-2003,Marja-Liisa_Tykkyläinen,24.3.1999,18.3.2003
"Turtiainen, Pertti",Vasemmistoliitto,Pertti,Turtiainen,,1999-2003,Pertti_Turtiainen,24.3.1999,18.3.2003
"Andersson, Janina",Vihreät,Janina,Andersson,,1999-2003,Janina_Andersson,24.3.1999,18.3.2003
"Brax, Tuija",Vihreät,Tuija,Brax,,1999-2003,Tuija_Brax,24.3.1999,18.3.2003
"Forsius, Merikukka",Vihreät,Merikukka,Forsius,,1999-2003,Merikukka_Forsius,24.3.1999,18.3.2003
"Hassi, Satu",Vihreät,Satu,Hassi,Ministeri ulkoasiainministeriössä;; Ympäristöministeri,1999-2003,Satu_Hassi,24.3.1999,18.3.2003
"Krohn, Irina",Vihreät,Irina,Krohn,,1999-2003,Irina_Krohn,24.3.1999,18.3.2003
"Ojansuu, Kirsi",Vihreät,Kirsi,Ojansuu,,1999-2003,Kirsi_Ojansuu,24.3.1999,18.3.2003
"Pulliainen, Erkki",Vihreät,Erkki,Pulliainen,,1999-2003,Erkki_Pulliainen,24.3.1999,18.3.2003
"Soininvaara, Osmo",Vihreät,Osmo,Soininvaara,Peruspalveluministeri,1999-2003,Osmo_Soininvaara,24.3.1999,18.3.2003
"Sinnemäki, Anni",Vihreät,Anni,Sinnemäki,,1999-2003,Anni_Sinnemäki,24.3.1999,18.3.2003
"Anttila, Ulla",Vihreät,Ulla,Anttila,,1999-2003,Ulla_Anttila,24.3.1999,18.3.2003
"Mertjärvi, Rauha-Maria",Vihreät,Rauha-Maria,Mertjärvi,,1999-2003,Rauha-Maria_Mertjärvi,24.3.1999,18.3.2003
"Aho, Esko",Keskusta,Esko,Aho,,1999-2003,Esko_Aho,24.3.1999,18.3.2003
"Ala-Nissilä, Olavi",Keskusta,Olavi,Ala-Nissilä,,1999-2003,Olavi_Ala-Nissilä,24.3.1999,18.3.2003
