,name,party,firstname,lastname,position,key,start_date,end_date,hallituskausi
0,"Heinonen, Olli-Pekka",Kokoomus,Olli-Pekka,Heinonen, Liikenneministeri;; Liikenne- ja viestintäministeri;;,Olli-Pekka_Heinonen,15.4.1999,17.4.2003,Lipponen II
1,"Itälä, Ville",Kokoomus,Ville,Itälä, Pääministerin sijainen;; Sisäasiainministeri;;,Ville_Itälä,15.4.1999,17.4.2003,Lipponen II
2,"Koskinen, Jari",Kokoomus,Jari,Koskinen, Maa- ja metsätalousministeri;;,Jari_Koskinen,15.4.1999,17.4.2003,Lipponen II
3,"Lindén, Suvi",Kokoomus,Suvi,Lindén, Kulttuuriministeri;;,Suvi_Lindén,15.4.1999,17.4.2003,Lipponen II
4,"Niinistö, Sauli",Kokoomus,Sauli,Niinistö, Pääministerin sijainen;; Valtiovarainministeri;;,Sauli_Niinistö,15.4.1999,17.4.2003,Lipponen II
5,"Vilén, Jari",Kokoomus,Jari,Vilén, Ministeri valtioneuvoston kansliassa;; Ulkomaankauppaministeri;; Ministeri kauppa- ja teollisuusministeriössä;;,Jari_Vilén,15.4.1999,17.4.2003,Lipponen II
6,"Sasi, Kimmo",Kokoomus,Kimmo,Sasi, Ministeri valtioneuvoston kansliassa;; Ulkomaankauppaministeri;; Liikenne- ja viestintäministeri;; Ministeri kauppa- ja teollisuusministeriössä;;,Kimmo_Sasi,15.4.1999,17.4.2003,Lipponen II
7,"Dromberg, Kaarina",Kokoomus,Kaarina,Dromberg, Kulttuuriministeri;;,Kaarina_Dromberg,15.4.1999,17.4.2003,Lipponen II
8,"Perho, Maija",Kokoomus,Maija,Perho, Sosiaali- ja terveysministeri;;,Maija_Perho,15.4.1999,17.4.2003,Lipponen II
9,"Biaudet, Eva",RKP,Eva,Biaudet, Peruspalveluministeri;; Peruspalveluministeri;;,Eva_Biaudet,15.4.1999,17.4.2003,Lipponen II
10,"Enestam, Jan-Erik",RKP,Jan-Erik,Enestam, Ministeri ulkoasiainministeriössä;; Puolustusministeri;;,Jan-Erik_Enestam,15.4.1999,17.4.2003,Lipponen II
11,"Korhonen, Martti",Vasemmistoliitto,Martti,Korhonen, Alue- ja kuntaministeri;;,Martti_Korhonen,15.4.1999,17.4.2003,Lipponen II
12,"Siimes, Suvi-Anne",Vasemmistoliitto,Suvi-Anne,Siimes, Ministeri ulkoasiainministeriössä;; Ministeri valtiovarainministeriössä;; Ministeri ympäristöministeriössä;;,Suvi-Anne_Siimes,15.4.1999,17.4.2003,Lipponen II
